Date,Region,Product,Units_Sold,Unit_Price,Revenue,Cost
2024-01-15,North,Widget A,150,25.00,3750.00,2250.00
2024-01-22,South,Widget B,200,30.00,6000.00,3600.00
2024-02-03,East,Widget A,175,25.00,4375.00,2625.00
2024-02-18,West,Widget C,90,50.00,4500.00,2700.00
2024-03-05,North,Widget B,220,30.00,6600.00,3960.00
2024-03-21,South,Widget A,160,25.00,4000.00,2400.00
2024-04-02,East,Widget C,110,50.00,5500.00,3300.00
2024-04-15,West,Widget A,130,25.00,3250.00,1950.00
2024-05-08,North,Widget C,95,50.00,4750.00,2850.00
2024-05-19,South,Widget B,185,30.00,5550.00,3330.00
2024-06-01,East,Widget A,200,25.00,5000.00,3000.00
2024-06-14,West,Widget B,170,30.00,5100.00,3060.00
2024-07-03,North,Widget A,145,25.00,3625.00,2175.00
2024-07-20,South,Widget C,120,50.00,6000.00,3600.00
2024-08-11,East,Widget B,210,30.00,6300.00,3780.00
2024-08-25,West,Widget A,155,25.00,3875.00,2325.00
2024-09-06,North,Widget B,190,30.00,5700.00,3420.00
2024-09-18,South,Widget A,180,25.00,4500.00,2700.00
2024-10-04,East,Widget C,100,50.00,5000.00,3000.00
2024-10-22,West,Widget B,175,30.00,5250.00,3150.00
2024-11-08,North,Widget C,85,50.00,4250.00,2550.00
2024-11-15,South,Widget A,195,25.00,4875.00,2925.00
2024-12-03,East,Widget B,230,30.00,6900.00,4140.00
2024-12-19,West,Widget C,105,50.00,5250.00,3150.00
